abond3m,abond6m,abond1y,abond2y,abond3y,abond5y,abond10y,bond3m,bond6m,bond1y,bond2y,bond3y,bond5y,bond10y
2.38,2.42,2.387,2.26,2.205,2.233,2.405,1.75,1.75,1.75,1.711,1.69,1.705,1.83
2.41,2.44,2.374,2.266,2.239,2.278,2.502,1.74,1.74,1.735,1.71,1.695,1.727,1.845
2.34,2.34,2.2,1.922,1.873,1.911,2.125,1.62,1.62,1.591,1.577,1.57,1.59,1.669
2.09,2.09,1.925,1.755,1.706,1.766,2.005,1.52,1.5,1.507,1.485,1.465,1.505,1.595
2.06,2.07,1.985,1.872,1.826,1.827,2.014,1.38,1.35,1.282,1.302,1.289,1.32,1.385
1.98,1.87,1.763,1.504,1.427,1.387,1.496,1.25,1.2,1.143,1.22,1.195,1.252,1.295
1.81,1.81,1.745,1.622,1.56,1.544,1.665,1.234,1.255,1.297,1.333,1.297,1.355,1.46
1.52,1.55,1.495,1.524,1.516,1.52,1.691,1.241,1.278,1.372,1.435,1.462,1.586,1.73
1.57,1.6,1.586,1.612,1.609,1.626,1.776,1.25,1.307,1.368,1.375,1.387,1.48,1.635
1.54,1.58,1.566,1.569,1.609,1.691,1.918,1.263,1.302,1.339,1.365,1.355,1.47,1.672
